,sentiment,sentiment:confidence,text
0,0,0.6264,aapl best steve jobs emails ever
1,0,0.8129,aapl stock mini flash crash today aapl aapl
2,0,1.0,only chews cords such applesnob
3,0,0.5848,"agree with that individualinvestor should trade apple aapl, it's extended today's pullback good"
4,0,0.6474,nobody expects spanish inquisition aapl
5,0,0.5975,aapl rocket stocks december gains apple more
6,1,0.8468,tablets damn right!
7,1,0.6736,cnbctv apple's margins better than expected? aapl
8,0,0.7997,apple flash crash what need know aapl
9,0,0.636,aapl this presentation shows what makes world's biggest tech companies
10,0,1.0,battery second this
11,0,0.6658,apple watch tops search engine list best wearable tech aapl iwatch applewatch
12,0,0.8381,"best designed iphone apps world, according"
13,1,1.0,bought store pretty good logo match can't wait install
14,0,1.0,contact sync between yosemite ios8 seriously screwed used much more stable past icloud isync
15,0,0.4798,aapl thanks factual dumb twitter followers stock drops points minute thanks dummies rumors
16,0,0.9399,warning iphone unlocked from iphone cannot verizon network
17,0,0.6621,thanks xtra checkin upper westside store appointments running almost minutes late?
18,0,1.0,aapl stock mini flash crash today money morning nothing analysts suggested would make widel
19,0,0.7244,hines staff with their newly issued connected macbook ipad mini txed
20,0,0.6552,need portfolio defend against companies just look court battles
21,0,1.0,"love gawd, center '1'on damn calendar fixed once, back, center, again!"
22,0,0.8928,storage almost full notification literally every minutes chill
23,0,0.8558,made switch from iphone galaxy note edge keep
24,0,0.8701,can't stand those with stickers everywhere they prob just bought ipod shuffle
25,0,0.7244,justice department cites 18th century federal unlock iphones
26,1,0.5724,latest apple products leading efficiency iphone ipad plugloads
27,0,1.0,justice department cites 18th century federal unlock iphones
28,0,0.7179,good huge justice department cites 18th century federal unlock iphones
29,0,1.0,cite amendment retort
30,0,0.6604,justice department cites 18th century federal unlock iphones
31,1,1.0,thanks thinking upgrading
32,0,0.6515,justice department cites 18th century federal unlock iphones
33,0,1.0,stay relevant justice department cites 18th century federal unlock iphones
34,0,1.0,apple flash crash what need know aapl
35,0,1.0,need help using your apple iphone6 iphone6plus checkitout
36,0,1.0,justice department cites 18th century federal unlock iphones
37,0,0.4673,that flash crash really screwed with traders today more determined than ever make trading work aapl
38,0,1.0,hines staff with their newly issued connected macbook ipad mini txed txed
39,0,0.7453,nigga update yall headphones
40,0,1.0,justice department cites 18th century federal unlock iphones
41,0,0.665,justice department cites 18th century federal unlock iphones
42,0,1.0,won't your browser anymore since keeps closing literally times today counted
43,0,1.0,justice department cites 18th century federal unlock iphones
44,0,0.501,cite constitution where judges cannot pass laws! violation separation powers
45,0,1.0,need fucking shit together while youtube
46,0,0.6672,wish could prosecute admin violation privacy criminal search seizure
47,0,1.0,justice department cites 18th century federal unlock iphones
48,0,0.6868,furthermore there provisions secrecy constitution such such activities sedition
49,0,0.6656,aapl here's apple dropped
50,0,0.7408,this chart explains affect paints interesting story what think?
51,0,1.0,justice department cites 18th century federal unlock iphones
52,0,1.0,justice department cites 18th century federal unlock iphones
53,0,0.732,"final aapl putcallratios monday, december 2014"
54,0,0.7177,aapl launches apple logo world aids world aids apple logo will
55,0,1.0,fuck
56,0,0.6788,companies growing faster than apple aapl
